grau;id_orgao_julgador;procedimento;anomes;quantidade_baixados;quantidade_remetidos_ent;quantidade_remetidos_saida;quantidade_novos;quantidade_baixados_12m;quantidade_remetidos_ent_12m;quantidade_remetidos_saida_12m;quantidade_novos_12m
G1;116740030001;Execução Judicial;202511;12;0;1;17;238;36;10;208
G1;116740030001;Conhecimento;202511;68;4;2;69;845;42;19;958
G1;116740030001;Conhecimento;202512;72;2;0;74;830;41;18;970
G1;116740030001;Execução de Título Extrajudicial;202512;5;0;0;5;48;2;2;99
G1;116740030001;Execução Judicial;202512;14;2;1;26;228;34;11;220
G1;116740030001;Conhecimento;202601;15;4;2;87;776;42;19;991
G1;116740030001;Execução Judicial;202601;8;1;1;17;219;35;12;223
G1;116740030001;Execução de Título Extrajudicial;202601;4;0;0;6;47;2;2;97
G1;116740030001;Execução de Título Extrajudicial;202602;2;0;0;24;46;2;2;117
G1;116740030001;Conhecimento;202602;39;4;3;71;754;40;20;980
G1;116740030001;Execução Judicial;202602;6;0;0;9;204;32;11;220
G1;116740030001;Conhecimento;202603;87;6;2;83;765;43;20;970
G1;116740030001;Execução de Título Extrajudicial;202603;7;0;0;3;51;2;2;107
G1;116740030001;Execução Judicial;202603;16;4;5;30;194;32;13;228
G1;116740030001;Conhecimento;202604;64;3;2;106;757;41;21;1000
G1;116740030001;Execução Judicial;202604;21;3;2;40;191;30;14;251
G1;116740030001;Execução de Título Extrajudicial;202604;8;0;0;13;54;1;1;115
G1;116740030001;Execução de Título Extrajudicial;202605;7;0;1;7;49;1;2;118
G1;116740030001;Conhecimento;202605;90;4;3;86;756;42;22;990
G1;116740030001;Execução Judicial;202605;30;1;2;30;204;31;16;270
G1;116740030001;Execução de Título Extrajudicial;202606;23;0;0;7;72;1;2;119
G1;116740030001;Execução Judicial;202606;8;0;0;12;200;26;15;263
G1;116740030001;Conhecimento;202606;54;2;2;64;771;37;21;980
G1;116740030003;Conhecimento;202310;0;0;0;1;0;0;0;1
G1;116740030003;Conhecimento;202312;0;0;1;0;0;0;1;1
G1;116740030003;Conhecimento;202402;0;0;1;1;0;0;2;2
G1;116740030003;Conhecimento;202506;0;0;0;1;0;0;0;1
G1;116740030003;Conhecimento;202507;0;0;1;0;0;0;1;1
G1;116740030003;Conhecimento;202602;0;0;0;1;0;0;1;2
G1;116740030003;Conhecimento;202604;0;0;1;0;0;0;2;2
G1;116740030007;Execução Judicial;202309;0;0;0;1;0;0;0;1
G1;116740030007;Execução Judicial;202310;0;0;1;0;0;0;1;1
G1;137300810002;Execução Judicial;202301;2;1;0;4;2;1;0;4
G1;137300810002;Conhecimento;202301;40;19;15;81;40;19;15;81
G1;137300810002;Execução Judicial;202302;3;0;1;4;5;1;1;8
G1;137300810002;Conhecimento;202302;38;12;13;58;78;31;28;139
G1;137300810002;Execução Judicial;202303;7;2;2;1;12;3;3;9
G1;137300810002;Conhecimento;202303;48;7;4;68;126;38;32;207
G1;137300810002;Execução Judicial;202304;0;1;1;2;12;4;4;11
G1;137300810002;Conhecimento;202304;34;12;5;92;160;50;37;299
G1;137300810002;Conhecimento;202305;52;22;6;96;212;72;43;395
G1;137300810002;Execução Judicial;202305;5;3;4;3;17;7;8;14
G1;137300810002;Conhecimento;202306;119;43;7;69;331;115;50;464
G1;137300810002;Execução Judicial;202306;5;2;0;27;22;9;8;41
G1;137300810002;Conhecimento;202307;85;22;23;83;416;137;73;547
G1;137300810002;Execução Judicial;202307;2;16;16;3;24;25;24;44
G1;137300810002;Execução Judicial;202308;5;2;1;2;29;27;25;46
G1;137300810002;Conhecimento;202308;54;31;34;69;470;168;107;616
